payment_id,order_id,customer_id,amount,currency,payment_method,gateway,status,payment_date,settlement_id
PAY00001,ORD00001,CUST00041,750,INR,UPI,Razorpay,SUCCESS,2026-08-01,SET0001
PAY00002,ORD00002,CUST00015,1000,INR,NETBANKING,Razorpay,SUCCESS,2026-08-01,SET0001
PAY00003,ORD00003,CUST00035,750,INR,CARD,Razorpay,SUCCESS,2026-08-01,SET0001
PAY00004,ORD00004,CUST00006,1500,INR,UPI,Razorpay,SUCCESS,2026-08-01,SET0001
PAY00005,ORD00005,CUST00013,15000,INR,CARD,Razorpay,SUCCESS,2026-08-01,SET0001
PAY00006,ORD00006,CUST00052,500,INR,NETBANKING,Razorpay,FAILED,2026-08-01,SET0001
PAY00007,ORD00007,CUST00028,2500,INR,UPI,Razorpay,FAILED,2026-08-01,SET0001
PAY00008,ORD00008,CUST00049,2500,INR,UPI,Razorpay,SUCCESS,2026-08-01,SET0001
PAY00009,ORD00009,CUST00023,2000,INR,NETBANKING,Razorpay,SUCCESS,2026-08-01,SET0001
PAY00010,ORD00010,CUST00035,750,USD,INTERNATIONAL,Razorpay,SUCCESS,2026-08-01,SET0001
PAY00011,ORD00011,CUST00041,2500,INR,CARD,Razorpay,SUCCESS,2026-08-01,SET0001
PAY00012,ORD00012,CUST00003,1500,INR,NETBANKING,Razorpay,SUCCESS,2026-08-01,SET0001
PAY00013,ORD00013,CUST00015,750,INR,UPI,Razorpay,SUCCESS,2026-08-02,SET0002
PAY00014,ORD00014,CUST00011,2500,INR,UPI,Razorpay,SUCCESS,2026-08-02,SET0002
PAY00015,ORD00015,CUST00045,750,INR,CARD,Razorpay,FAILED,2026-08-02,SET0002
PAY00016,ORD00016,CUST00047,1500,INR,UPI,Razorpay,SUCCESS,2026-08-02,SET0002
PAY00017,ORD00017,CUST00044,2500,INR,NETBANKING,Razorpay,SUCCESS,2026-08-02,SET0002
PAY00018,ORD00018,CUST00015,500,INR,NETBANKING,Razorpay,SUCCESS,2026-08-02,SET0002
PAY00019,ORD00019,CUST00014,2500,INR,UPI,Razorpay,SUCCESS,2026-08-02,SET0002
PAY00020,ORD00020,CUST00030,1000,INR,UPI,Razorpay,SUCCESS,2026-08-02,SET0002
PAY00021,ORD00021,CUST00036,15000,INR,UPI,Razorpay,SUCCESS,2026-08-02,SET0002
PAY00022,ORD00022,CUST00026,2500,INR,UPI,Razorpay,SUCCESS,2026-08-02,SET0002
PAY00023,ORD00023,CUST00033,10000,INR,UPI,Razorpay,SUCCESS,2026-08-02,SET0002
PAY00024,ORD00024,CUST00008,1000,INR,CARD,Razorpay,SUCCESS,2026-08-02,SET0002
PAY00025,ORD00025,CUST00028,750,INR,UPI,Razorpay,SUCCESS,2026-08-03,SET0003
PAY00026,ORD00026,CUST00034,2000,USD,INTERNATIONAL,Razorpay,SUCCESS,2026-08-03,SET0003
PAY00027,ORD00027,CUST00001,750,INR,CARD,Razorpay,SUCCESS,2026-08-03,SET0003
PAY00028,ORD00028,CUST00050,2500,INR,UPI,Razorpay,SUCCESS,2026-08-03,SET0003
PAY00029,ORD00029,CUST00001,2000,USD,INTERNATIONAL,Razorpay,SUCCESS,2026-08-03,SET0003
PAY00030,ORD00030,CUST00033,750,INR,WALLET,Razorpay,SUCCESS,2026-08-03,SET0003
PAY00031,ORD00031,CUST00041,15000,INR,CARD,Razorpay,FAILED,2026-08-03,SET0003
PAY00032,ORD00032,CUST00049,1000,INR,CARD,Razorpay,SUCCESS,2026-08-03,SET0003
PAY00033,ORD00033,CUST00034,500,INR,CARD,Razorpay,SUCCESS,2026-08-03,SET0003
PAY00034,ORD00034,CUST00060,2500,INR,WALLET,Razorpay,SUCCESS,2026-08-03,SET0003
PAY00035,ORD00035,CUST00020,1500,INR,UPI,Razorpay,SUCCESS,2026-08-03,SET0003
PAY00036,ORD00036,CUST00061,750,INR,UPI,Razorpay,SUCCESS,2026-08-03,SET0003
PAY00037,ORD00037,CUST00049,15000,INR,NETBANKING,Razorpay,FAILED,2026-08-04,SET0004
PAY00038,ORD00038,CUST00031,15000,INR,UPI,Razorpay,SUCCESS,2026-08-04,SET0004
PAY00039,ORD00039,CUST00028,1500,INR,WALLET,Razorpay,SUCCESS,2026-08-04,SET0004
PAY00040,ORD00040,CUST00045,1500,INR,NETBANKING,Razorpay,SUCCESS,2026-08-04,SET0004
PAY00041,ORD00041,CUST00029,15000,INR,CARD,Razorpay,SUCCESS,2026-08-04,SET0004
PAY00042,ORD00042,CUST00009,2500,INR,UPI,Razorpay,SUCCESS,2026-08-04,SET0004
PAY00043,ORD00043,CUST00029,500,INR,UPI,Razorpay,SUCCESS,2026-08-04,SET0004
PAY00044,ORD00044,CUST00009,500,INR,WALLET,Razorpay,SUCCESS,2026-08-04,SET0004
PAY00045,ORD00045,CUST00031,2000,INR,CARD,Razorpay,FAILED,2026-08-04,SET0004
PAY00046,ORD00046,CUST00017,10000,INR,UPI,Razorpay,SUCCESS,2026-08-04,SET0004
PAY00047,ORD00047,CUST00025,750,INR,UPI,Razorpay,SUCCESS,2026-08-04,SET0004
PAY00048,ORD00048,CUST00053,10000,INR,WALLET,Razorpay,SUCCESS,2026-08-04,SET0004
PAY00049,ORD00049,CUST00013,500,INR,CARD,Razorpay,SUCCESS,2026-08-05,SET0005
PAY00050,ORD00050,CUST00032,1500,INR,UPI,Razorpay,SUCCESS,2026-08-05,SET0005
PAY00051,ORD00051,CUST00024,2000,INR,CARD,Razorpay,SUCCESS,2026-08-05,SET0005
PAY00052,ORD00052,CUST00010,10000,INR,NETBANKING,Razorpay,SUCCESS,2026-08-05,SET0005
