settlement_id,payment_date,settlement_date,naive_expected_total,correct_expected_total,actual_total_all,actual_total_on_time,discrepancy_total
SET0001,2026-08-01,2026-08-02,31250.0,26935.08,26935.08,26935.08,0.0
SET0002,2026-08-02,2026-08-03,40500.0,38468.28,29388.63,26157.8,12310.48
SET0003,2026-08-03,2026-08-04,30000.0,13946.16,14675.8,12709.72,1236.44
SET0004,2026-08-04,2026-08-05,74250.0,41798.95,46144.38,21291.88,20507.07
SET0005,2026-08-05,2026-08-06,54500.0,48788.97,52166.92,35506.17,13282.8
SET0006,2026-08-06,2026-08-07,25000.0,22786.82,23385.2,22652.9,133.92
SET0007,2026-08-07,2026-08-08,52250.0,42351.0,51083.3,51083.3,-8732.3
SET0008,2026-08-08,2026-08-09,40750.0,37740.67,38462.94,17426.09,20314.58
SET0009,2026-08-09,2026-08-10,59750.0,54649.68,54490.38,53993.33,656.35
SET0010,2026-08-10,2026-08-11,57000.0,35298.05,45539.05,32651.15,2646.9
