settlement_id,payment_id,settled_amount,settlement_date,fee_charged,tax_charged
SET0001,PAY00001,745.58,2026-08-02,3.75,0.67
SET0001,PAY00002,982.3,2026-08-02,15.0,2.7
SET0001,PAY00004,1477.87,2026-08-02,18.75,3.38
SET0001,PAY00005,14646.0,2026-08-02,300.0,54.0
SET0001,PAY00008,2485.25,2026-08-02,12.5,2.25
SET0001,PAY00009,1964.6,2026-08-02,30.0,5.4
SET0001,PAY00010,719.03,2026-08-02,26.25,4.72
SET0001,PAY00011,2441.0,2026-08-02,50.0,9.0
SET0001,PAY00012,1473.45,2026-08-02,22.5,4.05
SET0002,PAY00013,745.58,2026-08-06,3.75,0.67
SET0002,PAY00014,2485.25,2026-08-03,12.5,2.25
SET0002,PAY00016,1491.15,2026-08-03,7.5,1.35
SET0002,PAY00017,2455.75,2026-08-03,37.5,6.75
SET0002,PAY00018,491.15,2026-08-03,7.5,1.35
SET0002,PAY00019,2485.25,2026-08-07,12.5,2.25
SET0002,PAY00020,994.1,2026-08-03,5.0,0.9
SET0002,PAY00021,14778.75,2026-08-03,187.5,33.75
SET0002,PAY00022,2485.25,2026-08-03,12.5,2.25
SET0002,PAY00024,976.4,2026-08-03,20.0,3.6
SET0003,PAY00025,741.15,2026-08-04,7.5,1.35
SET0003,PAY00026,1917.4,2026-08-04,70.0,12.6
SET0003,PAY00027,732.3,2026-08-07,15.0,2.7
SET0003,PAY00028,2485.25,2026-08-04,12.5,2.25
SET0003,PAY00029,1917.4,2026-08-04,70.0,12.6
SET0003,PAY00030,734.07,2026-08-04,13.5,2.43
SET0003,PAY00032,976.4,2026-08-04,20.0,3.6
SET0003,PAY00033,488.2,2026-08-06,10.0,1.8
SET0003,PAY00034,2446.9,2026-08-04,45.0,8.1
SET0003,PAY00035,1491.15,2026-08-04,7.5,1.35
SET0003,PAY00036,745.58,2026-08-06,3.75,0.67
SET0004,PAY00038,14911.5,2026-08-09,75.0,13.5
SET0004,PAY00039,1468.14,2026-08-05,27.0,4.86
SET0004,PAY00040,1473.45,2026-08-05,22.5,4.05
SET0004,PAY00041,14646.0,2026-08-05,300.0,54.0
SET0004,PAY00042,2463.13,2026-08-05,31.25,5.62
SET0004,PAY00043,495.58,2026-08-05,3.75,0.67
SET0004,PAY00046,9941.0,2026-08-08,50.0,9.0
SET0004,PAY00047,745.58,2026-08-05,3.75,0.67
SET0005,PAY00049,488.2,2026-08-06,10.0,1.8
SET0005,PAY00050,1491.15,2026-08-06,7.5,1.35
SET0005,PAY00051,1952.8,2026-08-06,40.0,7.2
SET0005,PAY00052,9823.0,2026-08-06,150.0,27.0
SET0005,PAY00053,488.2,2026-08-08,10.0,1.8
SET0005,PAY00054,1491.15,2026-08-08,7.5,1.35
SET0005,PAY00056,1957.52,2026-08-06,36.0,6.48
SET0005,PAY00057,4882.0,2026-08-06,100.0,18.0
SET0005,PAY00059,14911.5,2026-08-06,75.0,13.5
SET0005,PAY00060,14681.4,2026-08-08,270.0,48.6
SET0006,PAY00062,1464.6,2026-08-07,30.0,5.4
SET0006,PAY00063,488.2,2026-08-07,10.0,1.8
SET0006,PAY00064,1464.6,2026-08-07,30.0,5.4
SET0006,PAY00065,976.4,2026-08-07,20.0,3.6
SET0006,PAY00066,738.93,2026-08-07,9.38,1.69
SET0006,PAY00067,732.3,2026-08-09,15.0,2.7
SET0006,PAY00068,734.07,2026-08-07,13.5,2.43
SET0006,PAY00069,14336.25,2026-08-07,562.5,101.25
SET0006,PAY00070,470.5,2026-08-07,25.0,4.5
SET0006,PAY00071,994.1,2026-08-07,5.0,0.9
SET0006,PAY00072,985.25,2026-08-07,12.5,2.25
SET0007,PAY00073,1464.6,2026-08-08,30.0,5.4
SET0007,PAY00074,9941.0,2026-08-08,50.0,9.0
SET0007,PAY00075,732.3,2026-08-08,15.0,2.7
SET0007,PAY00077,964.6,2026-08-08,30.0,5.4
SET0007,PAY00078,497.05,2026-08-08,2.5,0.45
SET0007,PAY00079,14911.5,2026-08-08,75.0,13.5
SET0007,PAY00080,4970.5,2026-08-08,25.0,4.5
SET0007,PAY00081,1464.6,2026-08-08,30.0,5.4
SET0007,PAY00082,14681.4,2026-08-08,270.0,48.6
SET0007,PAY00083,958.7,2026-08-08,35.0,6.3
SET0007,PAY00084,497.05,2026-08-08,2.5,0.45
SET0008,PAY00085,1491.15,2026-08-09,7.5,1.35
SET0008,PAY00086,4893.8,2026-08-09,90.0,16.2
SET0008,PAY00087,1473.45,2026-08-12,22.5,4.05
SET0008,PAY00089,1957.52,2026-08-09,36.0,6.48
SET0008,PAY00090,2441.0,2026-08-09,50.0,9.0
SET0008,PAY00091,734.07,2026-08-09,13.5,2.43
SET0008,PAY00092,1976.4,2026-08-09,20.0,3.6
SET0008,PAY00093,4882.0,2026-08-12,100.0,18.0
SET0008,PAY00094,1491.15,2026-08-09,7.5,1.35
SET0008,PAY00095,14681.4,2026-08-13,270.0,48.6
SET0008,PAY00096,2441.0,2026-08-09,50.0,9.0
SET0009,PAY00098,14911.5,2026-08-10,75.0,13.5
SET0009,PAY00099,14911.5,2026-08-10,75.0,13.5
SET0009,PAY00100,1952.8,2026-08-10,40.0,7.2
SET0009,PAY00101,1988.2,2026-08-10,10.0,1.8
SET0009,PAY00102,2441.0,2026-08-10,50.0,9.0
SET0009,PAY00103,9823.0,2026-08-10,150.0,27.0
SET0009,PAY00104,745.58,2026-08-10,3.75,0.67
SET0009,PAY00105,2485.25,2026-08-10,12.5,2.25
SET0009,PAY00107,497.05,2026-08-12,2.5,0.45
SET0009,PAY00108,4734.5,2026-08-10,225.0,40.5
SET0010,PAY00111,9941.0,2026-08-11,50.0,9.0
SET0010,PAY00112,9941.0,2026-08-15,50.0,9.0
SET0010,PAY00113,2396.75,2026-08-11,87.5,15.75
SET0010,PAY00114,14646.0,2026-08-11,300.0,54.0
SET0010,PAY00115,982.3,2026-08-14,15.0,2.7
SET0010,PAY00116,1964.6,2026-08-15,30.0,5.4
SET0010,PAY00117,1952.8,2026-08-11,40.0,7.2
SET0010,PAY00118,1988.2,2026-08-11,10.0,1.8
SET0010,PAY00119,994.1,2026-08-11,5.0,0.9
SET0010,PAY00120,732.3,2026-08-11,15.0,2.7
